Start: Thu Mar 16 16:30:27 PDT 2017

Parameter Sweeps

Number of parameters swept: 5

Table of parameters swept 
public	double	sexuality	0.1	0.2	0.3	0.4	0.5	

Parameter values for the class class khMateChoice.Environment
females  1000
males  1000
similar  true
scaleK  10.0
exponentN  1.0
maxD  50.0
findLocalDate  false
dateSearchRadius  10
replacement  false
oneDate  false
sexuality  0.1
gridWidth  50
gridHeight  50
bounded  false
uniqueLocation  false
movement  true
aggregate  true
coordinate  false
hyperAggCoor  false
collisions  false
randomMovement  1.0
searchRadius  1
paramSweeps  true
simLength  201
simNumber  10
fileDataName  results.txt
folderDataName  data
scriptName  script.txt
precision  %.3f
simulationTitle  Parameter Sweeps
dataSamplingInterval  10

Sweep Number:	1
sexuality	0.1
Step	Reps	pairs	FA	MA	Corr
170.000	10.000	0.000	0.035	0.026	0.006
180.000	10.000	0.000	0.035	0.026	0.006
190.000	10.000	0.000	0.035	0.026	0.006
200.000	10.000	0.000	0.035	0.026	0.006

Sweep Number:	5
sexuality	0.5
Step	Reps	pairs	FA	MA	Corr
1.000	10.000	929.400	5.563	5.525	0.577
10.000	10.000	999.000	5.569	5.506	0.577
20.000	10.000	999.800	5.571	5.505	0.575
30.000	10.000	1000.000	5.571	5.505	0.574
40.000	10.000	1000.000	5.571	5.505	0.574
50.000	10.000	1000.000	5.571	5.505	0.574
60.000	10.000	1000.000	5.571	5.505	0.574
70.000	10.000	1000.000	5.571	5.505	0.574
80.000	10.000	1000.000	5.571	5.505	0.574
90.000	10.000	1000.000	5.571	5.505	0.574
100.000	10.000	1000.000	5.571	5.505	0.574
110.000	10.000	1000.000	5.571	5.505	0.574
120.000	10.000	1000.000	5.571	5.505	0.574
130.000	10.000	1000.000	5.571	5.505	0.574
140.000	10.000	1000.000	5.571	5.505	0.574
150.000	10.000	1000.000	5.571	5.505	0.574
160.000	10.000	1000.000	5.571	5.505	0.574
170.000	10.000	1000.000	5.571	5.505	0.574
180.000	10.000	1000.000	5.571	5.505	0.574
190.000	10.000	1000.000	5.571	5.505	0.574
200.000	10.000	1000.000	5.571	5.505	0.574

Step	Reps	pairs	FA	MA	Corr
1.000	10.000	3.012	0.032	0.031	0.006
10.000	10.000	0.471	0.027	0.033	0.007
20.000	10.000	0.133	0.027	0.035	0.007
30.000	10.000	0.000	0.027	0.035	0.008
40.000	10.000	0.000	0.027	0.035	0.008
50.000	10.000	0.000	0.027	0.035	0.008
60.000	10.000	0.000	0.027	0.035	0.008
70.000	10.000	0.000	0.027	0.035	0.008
80.000	10.000	0.000	0.027	0.035	0.008
90.000	10.000	0.000	0.027	0.035	0.008
100.000	10.000	0.000	0.027	0.035	0.008
110.000	10.000	0.000	0.027	0.035	0.008
120.000	10.000	0.000	0.027	0.035	0.008
130.000	10.000	0.000	0.027	0.035	0.008
140.000	10.000	0.000	0.027	0.035	0.008
150.000	10.000	0.000	0.027	0.035	0.008
160.000	10.000	0.000	0.027	0.035	0.008
170.000	10.000	0.000	0.027	0.035	0.008
180.000	10.000	0.000	0.027	0.035	0.008
190.000	10.000	0.000	0.027	0.035	0.008
200.000	10.000	0.000	0.027	0.035	0.008

Finished: Thu Mar 16 16:30:34 PDT 2017

